"Source","Target"
"category_1","tag_1"
"category_1","tag_2"
"category_1","tag_4"
"category_1","tag_5"
"category_1","tag_8"
"category_1","tag_9"
"category_1","tag_11"
"category_1","tag_14"
"category_1","tag_15"
"category_1","tag_16"
"category_1","tag_17"
"category_1","tag_20"
"category_1","tag_22"
"category_1","tag_24"
"category_1","tag_25"
"category_1","tag_28"
"category_1","tag_29"
"category_1","tag_31"
"category_1","tag_32"
"category_2","tag_3"
"category_2","tag_4"
"category_2","tag_5"
"category_2","tag_6"
"category_2","tag_7"
"category_2","tag_8"
"category_2","tag_9"
"category_2","tag_11"
"category_2","tag_12"
"category_2","tag_13"
"category_2","tag_14"
"category_2","tag_15"
"category_2","tag_16"
"category_2","tag_17"
"category_2","tag_19"
"category_2","tag_20"
"category_2","tag_22"
"category_2","tag_23"
"category_2","tag_24"
"category_2","tag_25"
"category_2","tag_26"
"category_2","tag_27"
"category_2","tag_28"
"category_2","tag_29"
"category_2","tag_30"
"category_2","tag_31"
"category_2","tag_32"
"category_3","tag_3"
"category_3","tag_4"
"category_3","tag_5"
"category_3","tag_6"
"category_3","tag_8"
"category_3","tag_11"
"category_3","tag_12"
"category_3","tag_13"
"category_3","tag_14"
"category_3","tag_15"
"category_3","tag_16"
"category_3","tag_17"
"category_3","tag_20"
"category_3","tag_22"
"category_3","tag_23"
"category_3","tag_24"
"category_3","tag_25"
"category_3","tag_26"
"category_3","tag_27"
"category_3","tag_28"
"category_3","tag_29"
"category_3","tag_31"
"category_3","tag_32"
"category_4","tag_3"
"category_4","tag_7"
"category_4","tag_10"
"category_4","tag_11"
"category_4","tag_14"
"category_4","tag_15"
"category_4","tag_16"
"category_4","tag_17"
"category_4","tag_18"
"category_4","tag_19"
"category_4","tag_21"
"category_4","tag_22"
"category_4","tag_24"
"category_4","tag_26"
"category_4","tag_30"
"category_5","tag_1"
"category_5","tag_2"
"category_5","tag_4"
"category_5","tag_5"
"category_5","tag_6"
"category_5","tag_8"
"category_5","tag_9"
"category_5","tag_11"
"category_5","tag_12"
"category_5","tag_13"
"category_5","tag_14"
"category_5","tag_15"
"category_5","tag_16"
"category_5","tag_17"
"category_5","tag_20"
"category_5","tag_22"
"category_5","tag_23"
"category_5","tag_24"
"category_5","tag_25"
"category_5","tag_26"
"category_5","tag_28"
"category_5","tag_29"
"category_5","tag_31"
"category_5","tag_32"
