"Source","Target"
"ou_2421692","category_1"
"ou_159875","category_1"
"ou_persistent28","category_1"
"ou_1863284","category_1"
"ou_2063285","category_1"
"ou_1738138","category_1"
"ou_1863336","category_1"
"ou_24021","category_1"
"ou_24007","category_1"
"ou_1497638","category_1"
"ou_1445580","category_1"
"ou_2415691","category_1"
"ou_2253650","category_1"
"ou_159888","category_1"
"ou_1863404","category_1"
"ou_2117288","category_1"
"ou_2355696","category_1"
"ou_904545","category_1"
"ou_1856284","category_1"
"ou_1309545","category_1"
"ou_1445561","category_1"
"ou_2205652","category_1"
"ou_1125546","category_1"
"ou_3176553","category_1"
"ou_1938284","category_1"
"ou_3054973","category_2"
"ou_38004","category_2"
"ou_1565141","category_2"
"ou_1497750","category_2"
"ou_1942284","category_2"
"ou_3148638","category_2"
"ou_2068288","category_2"
"ou_2461692","category_2"
"ou_2173675","category_2"
"ou_2340692","category_2"
"ou_persistent28","category_2"
"ou_634548","category_2"
"ou_1863284","category_2"
"ou_1497794","category_2"
"ou_2421691","category_2"
"ou_2063285","category_2"
"ou_1738138","category_2"
"ou_24027","category_2"
"ou_3023867","category_2"
"ou_2074314","category_2"
"ou_971545","category_2"
"ou_1950288","category_2"
"ou_2575692","category_2"
"ou_1433545","category_2"
"ou_2324692","category_2"
"ou_2074309","category_2"
"ou_2243640","category_2"
"ou_1664137","category_2"
"ou_1497638","category_2"
"ou_1125545","category_2"
"ou_2173648","category_2"
"ou_2149640","category_2"
"ou_2481692","category_2"
"ou_3135468","category_2"
"ou_1110547","category_2"
"ou_3164632","category_2"
"ou_2149683","category_2"
"ou_1753286","category_2"
"ou_67205","category_2"
"ou_1753296","category_2"
"ou_1309545","category_2"
"ou_1607137","category_2"
"ou_3054973","category_3"
"ou_1497750","category_3"
"ou_1826284","category_3"
"ou_persistent28","category_3"
"ou_1863284","category_3"
"ou_2421691","category_3"
"ou_1738138","category_3"
"ou_24027","category_3"
"ou_1863336","category_3"
"ou_3023867","category_3"
"ou_24021","category_3"
"ou_1445580","category_3"
"ou_913545","category_3"
"ou_2481692","category_3"
"ou_3135468","category_3"
"ou_2149683","category_3"
"ou_1863404","category_3"
"ou_1753286","category_3"
"ou_67205","category_3"
"ou_1753296","category_3"
"ou_1309545","category_3"
"ou_3176553","category_3"
"ou_1950293","category_4"
"ou_38004","category_4"
"ou_907574","category_4"
"ou_1462638","category_4"
"ou_634548","category_4"
"ou_2173688","category_4"
"ou_1497794","category_4"
"ou_3148316","category_4"
"ou_1110545","category_4"
"ou_2063316","category_4"
"ou_2074284","category_4"
"ou_2074309","category_4"
"ou_2035290","category_4"
"ou_1254545","category_4"
"ou_830550","category_4"
"ou_2489693","category_4"
"ou_3029158","category_4"
"ou_24030","category_4"
"ou_900545","category_4"
"ou_3000246","category_4"
"ou_2074304","category_4"
"ou_3029201","category_4"
"ou_3039308","category_4"
"ou_1607137","category_4"
"ou_55201","category_4"
"ou_1110546","category_4"
"ou_1826284","category_5"
"ou_persistent28","category_5"
"ou_1863284","category_5"
"ou_2063285","category_5"
"ou_1738138","category_5"
"ou_1863336","category_5"
"ou_3023867","category_5"
"ou_24021","category_5"
"ou_24017","category_5"
"ou_1497638","category_5"
"ou_1445580","category_5"
"ou_2481692","category_5"
"ou_2415691","category_5"
"ou_159888","category_5"
"ou_1863404","category_5"
"ou_2117288","category_5"
"ou_2355696","category_5"
"ou_1753286","category_5"
"ou_1309545","category_5"
"ou_2105284","category_5"
"ou_3176553","category_5"
"ou_1938284","category_5"
