"Source","Target"
"ou_1950293","tag_10"
"ou_1950293","tag_30"
"ou_1950293","tag_7"
"ou_1950293","tag_19"
"ou_3054973","tag_14"
"ou_3054973","tag_3"
"ou_3054973","tag_13"
"ou_38004","tag_11"
"ou_38004","tag_14"
"ou_38004","tag_15"
"ou_38004","tag_3"
"ou_38004","tag_7"
"ou_907574","tag_10"
"ou_907574","tag_18"
"ou_907574","tag_30"
"ou_2421692","tag_1"
"ou_2421692","tag_2"
"ou_159875","tag_1"
"ou_159875","tag_2"
"ou_1462638","tag_10"
"ou_1565141","tag_11"
"ou_1565141","tag_14"
"ou_1565141","tag_15"
"ou_1565141","tag_16"
"ou_1565141","tag_17"
"ou_1565141","tag_22"
"ou_1565141","tag_32"
"ou_1565141","tag_4"
"ou_1497750","tag_23"
"ou_1497750","tag_13"
"ou_1497750","tag_12"
"ou_1497750","tag_6"
"ou_3148638","tag_11"
"ou_3148638","tag_14"
"ou_3148638","tag_15"
"ou_3148638","tag_16"
"ou_3148638","tag_17"
"ou_3148638","tag_22"
"ou_3148638","tag_32"
"ou_3148638","tag_4"
"ou_1942284","tag_11"
"ou_1942284","tag_14"
"ou_1942284","tag_15"
"ou_1942284","tag_32"
"ou_1942284","tag_4"
"ou_2068288","tag_11"
"ou_2068288","tag_14"
"ou_2068288","tag_15"
"ou_2068288","tag_32"
"ou_2068288","tag_4"
"ou_2461692","tag_24"
"ou_2173675","tag_11"
"ou_2173675","tag_15"
"ou_2173675","tag_16"
"ou_2173675","tag_22"
"ou_2173675","tag_24"
"ou_2173675","tag_32"
"ou_2173675","tag_4"
"ou_2340692","tag_11"
"ou_2340692","tag_14"
"ou_2340692","tag_15"
"ou_2340692","tag_24"
"ou_2340692","tag_32"
"ou_2340692","tag_4"
"ou_1826284","tag_5"
"ou_1826284","tag_12"
"ou_1826284","tag_6"
"ou_persistent28","tag_11"
"ou_persistent28","tag_14"
"ou_persistent28","tag_15"
"ou_persistent28","tag_24"
"ou_persistent28","tag_32"
"ou_persistent28","tag_4"
"ou_persistent28","tag_5"
"ou_persistent28","tag_25"
"ou_persistent28","tag_28"
"ou_persistent28","tag_29"
"ou_634548","tag_24"
"ou_634548","tag_7"
"ou_634548","tag_19"
"ou_2173688","tag_18"
"ou_2173688","tag_30"
"ou_1863284","tag_16"
"ou_1863284","tag_17"
"ou_1863284","tag_22"
"ou_1863284","tag_32"
"ou_1863284","tag_4"
"ou_1863284","tag_5"
"ou_1863284","tag_31"
"ou_1863284","tag_20"
"ou_1497794","tag_24"
"ou_1497794","tag_7"
"ou_3148316","tag_30"
"ou_2421691","tag_11"
"ou_2421691","tag_14"
"ou_2421691","tag_15"
"ou_2421691","tag_27"
"ou_2421691","tag_32"
"ou_2421691","tag_4"
"ou_1110545","tag_10"
"ou_1110545","tag_30"
"ou_2063285","tag_24"
"ou_2063285","tag_32"
"ou_2063285","tag_4"
"ou_2063285","tag_31"
"ou_2063285","tag_20"
"ou_2063285","tag_8"
"ou_1738138","tag_32"
"ou_1738138","tag_4"
"ou_1738138","tag_5"
"ou_1738138","tag_8"
"ou_24027","tag_11"
"ou_24027","tag_14"
"ou_24027","tag_15"
"ou_24027","tag_23"
"ou_24027","tag_13"
"ou_24027","tag_24"
"ou_24027","tag_27"
"ou_1863336","tag_5"
"ou_1863336","tag_31"
"ou_1863336","tag_20"
"ou_3023867","tag_32"
"ou_3023867","tag_4"
"ou_3023867","tag_5"
"ou_2074314","tag_22"
"ou_2074314","tag_24"
"ou_971545","tag_11"
"ou_971545","tag_14"
"ou_971545","tag_15"
"ou_971545","tag_3"
"ou_1950288","tag_24"
"ou_1950288","tag_32"
"ou_1950288","tag_4"
"ou_2575692","tag_11"
"ou_2575692","tag_14"
"ou_2575692","tag_32"
"ou_2575692","tag_4"
"ou_24021","tag_5"
"ou_24021","tag_31"
"ou_24021","tag_20"
"ou_24021","tag_25"
"ou_24021","tag_28"
"ou_24021","tag_29"
"ou_1433545","tag_11"
"ou_1433545","tag_14"
"ou_1433545","tag_15"
"ou_1433545","tag_16"
"ou_1433545","tag_17"
"ou_1433545","tag_22"
"ou_24007","tag_1"
"ou_24007","tag_2"
"ou_24007","tag_25"
"ou_24007","tag_28"
