"Id","Label"
"tag_1","Astronomy"
"tag_2","Astrophysics"
"tag_3","Behavioural Biology"
"tag_4","Cell Biology"
"tag_5","Chemistry"
"tag_6","Climate Research"
"tag_7","Cognitive Science"
"tag_8","Complex Systems"
"tag_9","Computer Science"
"tag_10","Cultural Studies"
"tag_11","Developmental Biology"
"tag_12","Earth Sciences"
"tag_13","Ecology"
"tag_14","Evolutionary Biology"
"tag_15","Genetics"
"tag_16","Immunobiology"
"tag_17","Infection Biology"
"tag_18","Jurisprudence"
"tag_19","Linguistics"
"tag_20","Material Sciences"
"tag_21","Mathematics"
"tag_22","Medicine"
"tag_23","Microbiology"
"tag_24","Neurosciences"
"tag_25","Particle Physics"
"tag_26","Physiology"
"tag_27","Plant Research"
"tag_28","Plasma Physics"
"tag_29","Quantum Physics"
"tag_30","Social and Behavioural Sciences"
"tag_31","Solid State Research"
"tag_32","Structural Biology"
