"Source","Target"
"ou_1110545","ctx_1114607"
"ou_1110545","ctx_1312560"
"ou_1110546","ctx_1212570"
"ou_1110546","ctx_1240555"
"ou_1110547","ctx_1114619"
"ou_1110547","ctx_1139630"
"ou_1125545","ctx_1496206"
"ou_1125545","ctx_1563278"
"ou_1125546","ctx_1835111"
"ou_1125546","ctx_1835112"
"ou_1254545","ctx_1253610"
"ou_1254545","ctx_1307608"
"ou_1309545","ctx_1350638"
"ou_1309545","ctx_1397662"
"ou_1309545","ctx_3058622"
"ou_1433545","ctx_1431586"
"ou_1433545","ctx_1479061"
"ou_1445561","ctx_1443688"
"ou_1445561","ctx_1504321"
"ou_1445580","ctx_1448979"
"ou_1445580","ctx_1477565"
"ou_1462638","ctx_1462033"
"ou_1462638","ctx_1759977"
"ou_1497638","ctx_1567589"
"ou_1497638","ctx_1694622"
"ou_1497638","ctx_1586655"
"ou_1497750","ctx_1504398"
"ou_1497750","ctx_1539139"
"ou_1497750","ctx_1674194"
"ou_1497794","ctx_1504403"
"ou_1565141","ctx_1577969"
"ou_1565141","ctx_1583063"
"ou_159875","ctx_933138"
"ou_159875","ctx_160875"
"ou_159888","ctx_940351"
"ou_159888","ctx_160876"
"ou_1607137","ctx_1606250"
"ou_1607137","ctx_1674297"
"ou_1664137","ctx_1662439"
"ou_1664137","ctx_1703283"
"ou_1738138","ctx_1739501"
"ou_1738138","ctx_1746762"
"ou_1753286","ctx_1752758"
"ou_1753286","ctx_1832170"
"ou_1753296","ctx_1760320"
"ou_1753296","ctx_1837922"
"ou_1826284","ctx_1824889"
"ou_1826284","ctx_1852423"
"ou_1856284","ctx_1855158"
"ou_1856284","ctx_1982926"
"ou_1863284","ctx_1861388"
"ou_1863284","ctx_1896882"
"ou_1863336","ctx_1896905"
"ou_1863336","ctx_2019354"
"ou_1863404","ctx_1899711"
"ou_1863404","ctx_1913473"
"ou_1938284","ctx_2272180"
"ou_1938284","ctx_2175472"
"ou_1938284","ctx_2024116"
"ou_1942284","ctx_1973221"
"ou_1950288","ctx_1989800"
"ou_1950293","ctx_2023287"
"ou_2035290","ctx_2034630"
"ou_2063285","ctx_2160173"
"ou_2063285","ctx_2213476"
"ou_2063316","ctx_2095734"
"ou_2063316","ctx_2095736"
"ou_2063316","ctx_2426505"
"ou_2063316","ctx_2095717"
"ou_2063316","ctx_2095719"
"ou_2063316","ctx_2095738"
"ou_2068288","ctx_2079135"
"ou_2068288","ctx_2079164"
"ou_2074284","ctx_2086739"
"ou_2074284","ctx_2086743"
"ou_2074304","ctx_2078066"
"ou_2074309","ctx_2079641"
"ou_2074314","ctx_2084551"
"ou_2105284","ctx_2172841"
"ou_2105284","ctx_2104435"
"ou_2117288","ctx_2183781"
"ou_2117288","ctx_2127444"
"ou_2149640","ctx_2149053"
"ou_2149640","ctx_2156322"
"ou_2149683","ctx_2161686"
"ou_2149683","ctx_2166265"
"ou_2173648","ctx_2183586"
"ou_2173648","ctx_2188930"
"ou_2173675","ctx_2183659"
"ou_2173688","ctx_2191866"
"ou_2173688","ctx_2213631"
"ou_2205652","ctx_2307425"
"ou_2205652","ctx_2224147"
"ou_2205652","ctx_2224150"
"ou_2243640","ctx_2250097"
"ou_2243640","ctx_2258475"
"ou_2253650","ctx_3032249"
"ou_2324692","ctx_2327834"
"ou_2340692","ctx_2567163"
"ou_2340692","ctx_2573256"
"ou_2355696","ctx_2357949"
"ou_2355696","ctx_2452758"
"ou_24007","ctx_147965"
"ou_24007","ctx_23042"
"ou_24017","ctx_1302091"
"ou_24017","ctx_23045"
"ou_24021","ctx_644575"
"ou_24021","ctx_2190151"
"ou_24021","ctx_23049"
"ou_24027","ctx_420911"
"ou_24027","ctx_3022568"
"ou_24027","ctx_23051"
"ou_24027","ctx_1388650"
"ou_24030","ctx_825578"
"ou_24030","ctx_825579"
"ou_2415691","ctx_3176557"
"ou_2421691","ctx_2574705"
"ou_2421692","ctx_3176560"
"ou_2461692","ctx_2463624"
"ou_2461692","ctx_2491929"
"ou_2481692","ctx_2483858"
"ou_2481692","ctx_2604012"
"ou_2489693","ctx_2492000"
"ou_2489693","ctx_2574344"
"ou_2575692","ctx_2574704"
"ou_3000246","ctx_3000250"
"ou_3023867","ctx_3023887"
"ou_3023867","ctx_3023889"
"ou_3029158","ctx_3029197"
"ou_3029158","ctx_3029198"
"ou_3029201","ctx_3029204"
"ou_3029201","ctx_3029203"
"ou_3039308","ctx_3039314"
"ou_3054973","ctx_3068990"
"ou_3135468","ctx_3135471"
"ou_3148316","ctx_3148320"
"ou_3148638","ctx_3156540"
"ou_3164632","ctx_3176563"
"ou_3176553","ctx_3176554"
"ou_38004","ctx_1496179"
"ou_38004","ctx_1542176"
"ou_55201","ctx_57277"
"ou_55201","ctx_54203"
"ou_634548","ctx_690624"
"ou_634548","ctx_752582"
"ou_67205","ctx_1217571"
"ou_67205","ctx_1246561"
"ou_830550","ctx_828565"
"ou_900545","ctx_898694"
"ou_900545","ctx_924562"
"ou_904545","ctx_906579"
"ou_904545","ctx_924563"
"ou_907574","ctx_906588"
"ou_907574","ctx_924547"
"ou_913545","ctx_956626"
"ou_913545","ctx_1834549"
"ou_913545","ctx_1103548"
"ou_971545","ctx_1454604"
"ou_971545","ctx_969661"
"ou_971545","ctx_1518219"
"ou_persistent28","ctx_582610"
"ou_persistent28","ctx_582611"
