"Id","Label"
"ou_2333692","Max Planck Fellow Group Chemical Ecology of Plankton, Prof. Georg Pohnert"
"ou_1113564","ADIS"
"ou_24008","AEI-Golm"
"ou_24009","AEI-Hannover"
"ou_2025285","ASDEX Upgrade Team"
"ou_3005509","Abt. Elektrochemie und Reaktionskinetik"
"ou_1753287","Abt. I:Mechanistische Zellbiologie"
"ou_1753288","Abt. II: Systemische Zellbiologie"
"ou_1753289","Abt. III: Physikalische Biochemie"
"ou_2040307","Abt. III: Strukturbiochemie"
"ou_1753290","Abt. IV: Chemische Biologie"
"ou_1462639","Abteilung Architekturgeschichte"
"ou_578616","Abteilung Biochemische Kinetik"
"ou_578551","Abteilung Experimentelle Methoden"
"ou_578549","Abteilung Kinetik der Phasenbildung"
"ou_578547","Abteilung Laserphysik"
"ou_1462640","Abteilung Malerei und Bildkünste"
"ou_578552","Abteilung Molekularer Systemaufbau"
"ou_578620","Abteilung Neurobiologie"
"ou_578555","Abteilung Neurochemie"
"ou_578545","Abteilung Spektroskopie"
"ou_578558","Abteilung Zellphysiologie"
"ou_55207","Adaptive Listening"
"ou_1497689","Adaptor proteins"
"ou_1753291","Administration"
"ou_24019","Algorithms and Complexity"
"ou_1738139","Analysis and Redesign of Biological Networks"
"ou_1497690","Analytical Protein Biochemistry"
"ou_2591701","Angiogenesis & Metabolism Laboratory"
"ou_2591703","Animal Facility"
"ou_2355695","Animal Facility"
"ou_1497691","Arbeitsgruppe Zytoskelett"
"ou_578621","Arbeitsgruppen Neurobiologie"
"ou_2074310","Archaeogenetics"
"ou_2074312","Archaeology"
"ou_3011847","Arteriogenesis Research Group"
"ou_2364692","Associated Groups"
"ou_1445562","Associated Publications"
"ou_2074316","Assoziierte Wissenschaftlerinnen und Wissenschaftler"
"ou_24013","Astrophysical Relativity"
"ou_1933290","Astrophysical and Cosmological Relativity"
"ou_1826285","Atmospheric Chemistry"
"ou_1938286","Atomically Resolved Dynamics Department"
"ou_1214545","Auswärtiges Wissenschaftliches Mitglied"
"ou_1116545","Automation of Logic"
"ou_421914","BMBF Research Group Dr. S. Sachse, Olfactory Coding"
"ou_1565142","Baumeister, Wolfgang / Molecular Structural Biology"
"ou_1565143","Biertümpfel, Christian / Molecular Mechanisms of DNA Repair"
"ou_2461691","Binary Merger Observations and Numerical Relativity"
"ou_1826286","Biogeochemistry"
"ou_2591704","Bioinformatics"
"ou_1863285","Biomaterialien"
"ou_578634","Biomedical NMR Research GmbH"
"ou_2591705","Biomolecular Mass Spectrometry"
"ou_1863286","Biomolekulare Systeme"
"ou_1738140","Bioprocess Engineering"
"ou_3060205","Borner, Georg / Systems Biology of Membrane Trafficking"
"ou_830551","Business and Tax Law"
"ou_2385703","CALC"
"ou_1565177","CAS-MPG Joint Laboratory of Human Evolution and Archaeometry"
"ou_67202","Cactus Group"
"ou_102878","Canonical and Covariant Dynamics of Quantum Gravity"
"ou_2591695","Cardiac Development and Remodeling"
"ou_55211","Categories across Language and Cognition"
"ou_2481713","Cecile Bidan"
"ou_2591702","Cell Polarity and Organogenesis"
"ou_2364731","Cellular Biophysics"
"ou_2173649","Cellular molecular neurobiology"
"ou_2173650","Cellular neuroscience"
"ou_2074285","Center for Adaptive Behavior and Cognition"
"ou_2074286","Center for Adaptive Rationality"
"ou_1950287","Center for Astrochemical Studies at MPE"
"ou_2074287","Center for Educational Research"
"ou_3017589","Center for Humans and Machines"
"ou_2074288","Center for Lifespan Psychology"
"ou_2074289","Center for Sociology and the Study of the Life Course"
"ou_2074290","Center for the History of Emotions"
"ou_2068299","Central Analytical Laboratory, Dr. A. Jordan"
"ou_1113565","Central Microscopy"
"ou_1497639","Central Scientific Facility Biomaterials"
"ou_1571138","Central Scientific Facility Chemical Synthesis"
"ou_1497640","Central Scientific Facility Materials"
"ou_3047589","Central Scientific Facility Medical Systems"
"ou_3031013","Central Scientific Facility Optics and Sensing Laboratory"
"ou_3031015","Central Scientific Facility Scientific Computing"
"ou_3031012","Central Scientific Facility Software Workshop"
"ou_2149641","Central Services"
"ou_1856299","Central Technical Service (ZTE)"
"ou_2074325","Centre for Interdisciplinary Plasma Science (CIPS)"
"ou_1863299","Chakkumal Anish"
"ou_3008688","Chan Group"
"ou_2364732","Chemical Biology"
"ou_1753292","Chemical Genomics Center of the MPS"
"ou_1863405","Chemical Metal Science"
"ou_24022","Chemical Physics"
"ou_1497670","Chinese Academy of Sciences-Max Planck Partner Institute for Computational Biology"
