"Source","Target"
"ou_1113547","ou_1110547"
"ou_2333692","ou_24027"
"ou_1113564","ou_67205"
"ou_24008","ou_24007"
"ou_24009","ou_24007"
"ou_2025285","ou_1856284"
"ou_3005509","ou_persistent28"
"ou_1753287","ou_1753286"
"ou_1753288","ou_1753286"
"ou_1753289","ou_1753286"
"ou_2040307","ou_1753286"
"ou_1753290","ou_1753286"
"ou_1462639","ou_1462638"
"ou_578616","ou_persistent28"
"ou_578551","ou_persistent28"
"ou_578549","ou_persistent28"
"ou_578547","ou_persistent28"
"ou_1462640","ou_1462638"
"ou_578552","ou_persistent28"
"ou_578620","ou_persistent28"
"ou_578555","ou_persistent28"
"ou_578545","ou_persistent28"
"ou_578558","ou_persistent28"
"ou_55207","ou_55201"
"ou_1497689","ou_1125545"
"ou_1753291","ou_1753286"
"ou_24019","ou_24017"
"ou_1738139","ou_1738138"
"ou_1497690","ou_1125545"
"ou_2591701","ou_2324692"
"ou_2591703","ou_2324692"
"ou_2355695","ou_persistent28"
"ou_1497691","ou_1125545"
"ou_578621","ou_persistent28"
"ou_2074310","ou_2074309"
"ou_2074312","ou_2074309"
"ou_3011847","ou_2324692"
"ou_2364692","ou_2355696"
"ou_1445562","ou_1445561"
"ou_2074316","ou_1110546"
"ou_24013","ou_24008"
"ou_1933290","ou_24008"
"ou_1826285","ou_1826284"
"ou_1938286","ou_1938284"
"ou_1214545","ou_1110546"
"ou_1116545","ou_24017"
"ou_421914","ou_24027"
"ou_1565142","ou_1565141"
"ou_1462638","ou_persistent13"
"ou_1565143","ou_1565141"
"ou_2461691","ou_24009"
"ou_1826286","ou_1826284"
"ou_2591704","ou_2324692"
"ou_1863285","ou_1863284"
"ou_578634","ou_persistent28"
"ou_2591705","ou_2324692"
"ou_1863286","ou_1863284"
"ou_1738140","ou_1738138"
"ou_3060205","ou_1565141"
"ou_830551","ou_830550"
"ou_2385703","ou_2074309"
"ou_1565177","ou_38004"
"ou_67202","ou_24008"
"ou_102878","ou_24008"
"ou_2591695","ou_2324692"
"ou_55211","ou_55201"
"ou_2481713","ou_1863285"
"ou_2591702","ou_2324692"
"ou_2364731","ou_1125545"
"ou_2173649","ou_2173648"
"ou_2173650","ou_2173648"
"ou_2074285","ou_2074284"
"ou_2074286","ou_2074284"
"ou_1950287","ou_159888"
"ou_2074287","ou_2074284"
"ou_3017589","ou_2074284"
"ou_2074288","ou_2074284"
"ou_2074289","ou_2074284"
"ou_2074290","ou_2074284"
"ou_2173675","ou_persistent13"
"ou_2068299","ou_1497750"
"ou_1113565","ou_67205"
"ou_1497639","ou_1497638"
"ou_1571138","ou_1497638"
"ou_1497640","ou_1497638"
"ou_3047589","ou_1497638"
"ou_3031013","ou_1497638"
"ou_3031015","ou_1497638"
"ou_3031012","ou_1497638"
"ou_2149641","ou_2149640"
"ou_1856299","ou_1856284"
"ou_2074325","ou_1856284"
"ou_1863299","ou_1863286"
"ou_3008688","ou_2575692"
"ou_2364732","ou_1125545"
"ou_1753292","ou_1753286"
"ou_1863405","ou_1863404"
"ou_24022","ou_24021"
"ou_1497670","ou_38004"
"ou_2522691","ou_1863286"
"ou_1863300","ou_1863286"
"ou_2237635","ou_1826284"
"ou_2035296","ou_1607137"
"ou_2173651","ou_2173648"
"ou_3033585","ou_2074309"
"ou_1497692","ou_1125545"
"ou_55208","ou_55201"
"ou_2461693","ou_2461692"
"ou_55209","ou_55201"
"ou_2461694","ou_2461692"
"ou_40046","ou_24017"
"ou_1116546","ou_24017"
"ou_1863337","ou_1863336"
"ou_1738141","ou_1738138"
"ou_1863341","ou_1863337"
"ou_1497693","ou_1125545"
"ou_2541714","ou_24008"
"ou_2205642","ou_159875"
"ou_1856297","ou_1856284"
"ou_40047","ou_24017"
"ou_1116547","ou_24017"
"ou_1938285","ou_1938284"
"ou_2461695","ou_2461692"
"ou_1565144","ou_1565141"
"ou_2173676","ou_2173675"
"ou_1753301","ou_1753296"
"ou_745545","ou_55201"
"ou_1942291","ou_1942284"
"ou_1664138","ou_1664137"
"ou_1664139","ou_1664137"
"ou_1664140","ou_1664137"
"ou_1664141","ou_1664137"
"ou_1664142","ou_1664137"
"ou_1664143","ou_1664137"
"ou_1664144","ou_1664137"
"ou_1497694","ou_1125545"
"ou_2461696","ou_2461692"
"ou_1497695","ou_1125545"
"ou_2173652","ou_2173648"
"ou_1826294","ou_1826284"
"ou_159876","ou_159875"
"ou_2063284","ou_1565141"
"ou_2489694","ou_2489693"
"ou_2489695","ou_2489693"
"ou_1497696","ou_1125545"
"ou_1497697","ou_1125545"
"ou_1863290","ou_1863285"
"ou_1863301","ou_1863286"
"ou_1863302","ou_1863286"
"ou_3150629","ou_2063316"
"ou_24018","ou_24017"
"ou_55222","ou_55201"
"ou_1863342","ou_1863337"
"ou_907575","ou_907574"
"ou_907577","ou_907574"
"ou_907576","ou_907574"
"ou_3148641","ou_3148638"
"ou_1942285","ou_1942284"
"ou_2266697","ou_2063316"
"ou_1688139","ou_1497750"
"ou_1497751","ou_1497750"
"ou_1497752","ou_1497750"
"ou_1497753","ou_1497750"
"ou_1497754","ou_1497750"
"ou_1497755","ou_1497750"
"ou_1753299","ou_1753296"
"ou_634563","ou_634548"
"ou_2243646","ou_2243640"
"ou_1497795","ou_1497794"
"ou_1445634","ou_971545"
"ou_1445635","ou_971545"
"ou_1445641","ou_971545"
"ou_2266698","ou_2063316"
"ou_1497796","ou_1497794"
"ou_1497797","ou_1497794"
"ou_2074305","ou_2074304"
"ou_2074306","ou_2074304"
"ou_2074307","ou_2074304"
"ou_2266696","ou_2063316"
"ou_2243648","ou_2243640"
"ou_2149643","ou_2149640"
"ou_1942286","ou_1942284"
"ou_2421699","ou_971545"
"ou_634549","ou_634548"
"ou_634550","ou_634548"
"ou_2205649","ou_634548"
"ou_634551","ou_634548"
"ou_1942287","ou_1942284"
"ou_1497798","ou_1497794"
"ou_1832288","ou_1125546"
"ou_634564","ou_634548"
"ou_2591710","ou_634548"
"ou_3148643","ou_3148638"
"ou_634552","ou_634548"
"ou_1832287","ou_1125546"
"ou_1753298","ou_1753296"
"ou_2266695","ou_2063316"
"ou_1832289","ou_1125546"
"ou_3148647","ou_3148638"
"ou_1753297","ou_1753296"
"ou_3149186","ou_3054973"
"ou_2173678","ou_2173675"
"ou_1113566","ou_67205"
"ou_578618","ou_persistent28"
"ou_421893","ou_24027"
"ou_2481693","ou_2481692"
"ou_1497699","ou_1125545"
"ou_1497700","ou_1125545"
"ou_24028","ou_24027"
"ou_2068289","ou_2068288"
"ou_1497701","ou_1125545"
"ou_578576","ou_persistent28"
"ou_2243657","ou_2243640"
"ou_578574","ou_persistent28"
"ou_1664145","ou_1664137"
"ou_2243641","ou_2243640"
"ou_2243643","ou_2243640"
"ou_3054976","ou_3054973"
"ou_3040267","ou_38004"
